$GPGGA,123519,4807.038,N,01131.000,E,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,123520,4807.041,N,01131.005,E,1,08,0.9,545.6,M,46.9,M,,*42
$GPGGA,123521,4807.044,N,01131.010,E,1,09,0.8,545.8,M,46.9,M,,*47
$GPGGA,123522,4807.047,N,01131.015,E,1,09,0.8,546.1,M,46.9,M,,*48
$GPGGA,123523,4807.050,N,01131.020,E,1,09,0.8,546.3,M,46.9,M,,*45
$GPGGA,123524,4807.053,N,01131.025,E,1,09,0.8,546.5,M,46.9,M,,*4A
$GPGGA,123525,4807.056,N,01131.030,E,1,09,0.8,546.7,M,46.9,M,,*45
$GPGGA,123526,4807.059,N,01131.035,E,1,10,0.7,546.9,M,46.9,M,,*44
$GPGGA,123527,4807.062,N,01131.040,E,1,10,0.7,547.1,M,46.9,M,,*4B
$GPGGA,123528,4807.065,N,01131.045,E,1,10,0.7,547.3,M,46.9,M,,*4F
